date,areaType,areaCode,areaName,Lockdown?,Annotation,newCasesBySpecimenDateRollingRate
12/02/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,137.1
13/02/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,132.3
14/02/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,128.3
15/02/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,126.1
16/02/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,124.1
17/02/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,121.2
18/02/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,119.2
19/02/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,116.5
20/02/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,115.5
21/02/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,114.2
22/02/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,109.7
23/02/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,105.1
24/02/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,100.6
25/02/2021,overview,K02000001,United Kingdom,Lockdown,Lockdown effect,95.1
